identifier,lines
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",supportive on growth as well as inflation front.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",36.    These data points and developments suggest room for further rate cuts at an
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",appropriate time. The forecast also suggests that the CPI core (excluding gold) will
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","remain benign in the near term, with GDP growth around 7%. The World Bank’s CPF"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","has projected commodity prices, except for some precious metals, to be moderate in"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","2026. If we use the CPI core (excluding gold and silver) as a reference point, there is"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","a case for a growth-supportive stance, given that the economy’s fundamentals – BOP,"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Forex, fiscal deficit, debt-to-GDP ratio, corporate and bank balance sheets, inflation,"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",and growth dynamics – are robust.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",37.    The Centre’s Fiscal Deficit for FY25-26 is on track to meet the below 4.5% of
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","GDP target as promised in 2021-22, with a clear roadmap towards reducing debt"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",levels to 50 per cent (+/- 1%) by 2030-31 as given in FY26-27 Budget. The CAD is
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","expected to remain at a highly sustainable 1.1% of GDP for FY26, supported by"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",buoyant service exports and robust private remittances. The recent announcement of
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",trade deals with the EU and the US is expected to improve the trade and capital
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","accounts, thereby supporting the INR."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",38.    In view of the reduced volatility underlying headline CPI and the dormancy of
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the CPI core (excluding gold and silver), it cannot be the end of the current easing"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","cycle. Moreover, the convergence of internal price stability, robust economic"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","fundamentals, and developments on the trade and investment fronts has created a"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","rare window for monetary policy, in which remaining ""neutral"" is not appropriate at a"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",moment that demands a proactive signal to the economy.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",39.     The exact quantum and timing of the further rate cut will depend on the
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","incoming data, but a growth-supporting stance is very much consistent with a stable"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","inflation outlook. Moreover, given the stable inflation and fiscal outlooks, a change in"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",stance to “accommodative” will facilitate transmission of the rate cuts so far by putting
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","downward pressure on market rates, yields for sovereign and corporate bonds and the"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",rate spread between the two.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","40.    Therefore, I vote for a status quo in policy rate and am in favour of the stance"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",being “accommodative”.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Statement by Shri Indranil Bhattacharyya
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",41.     Notwithstanding an escalation of geo-political strife amidst intensifying tariff
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","wars between transatlantic allies, global growth projections for 2026 has been revised"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","upwards. At the same time, economic activity in India remained robust with various"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",high frequency indicators bearing testimony to the continued resilience of the economy
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","in Q3:2025-26. Accordingly, real GDP growth for 2025-26, driven by consumption and"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","investment, is estimated to be robust at 7.4%, despite external headwinds. Even as"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","domestic demand continues to be buoyant, the recently concluded trade deals with"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",major trading partners have considerably improved the external outlook for the
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",ensuing year. Besides boosting merchandise exports and strengthening the current
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","account, these deals would support India’s labour-intensive sectors while drawing"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",higher investments. As the fine print of various trade deals is yet to be comprehended
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","fully, our preliminary assessment suggests an improvement in growth by about 20"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","basis points each in Q1 and Q2 of 2026-27 – to 6.9 per cent and 7.0 per cent,"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",respectively.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","42.     Since the last MPC meeting, developments on the inflation front have been"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","largely on expected lines barring the significant increase in prices of precious metals,"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","viz., gold and silver. CPI headline inflation has inched up from its historical low levels"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",although it remains below the lower tolerance threshold. While assessing headline
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","inflation, its underlying trends as well as its likely trajectory going forward, the key"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",elements of its major constituents would have to be delineated. While food has
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","generally recorded deflation in six of the last seven prints, core inflation rose to 4.6 per"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","cent in December, driven by prices in precious metals. Excluding such items, core"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",inflation remained considerably low at 2.3 per cent indicating muted demand
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","pressures. Going forward, food inflation is expected to pick-up and turn positive in the"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",coming months while non-food inflation (excluding precious metals) will continue to
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",remain benign. Supply side developments remain favourable as international
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","commodity prices, barring metals, remain largely contained while higher rabi sowing"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",for most crops augurs well for agricultural production. The baseline forecasts for
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",inflation indicate that headline inflation is likely to remain around the target of 4 per
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","cent during H1:2026-27, ruling out the risks of both undershooting the lower tolerance"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",threshold as well as significant upward deviation from the target. The marginal upward
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",revision in inflation forecasts essentially reflect the impact of higher prices of precious
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","metals, and do not alter my assessment made in the December MPC meeting that the"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",benign inflation scenario is likely to persist for long. The impending release of the new
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",CPI series is expected to provide greater clarity on inflation developments as the
