"","identifier","lines"
"236","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","28.    Assessing the macro-financial environment, while awaiting the new economic"
"237","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","data series, I think the policy rate is appropriate. Hence, I vote to keep the repo rate"
"238","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","at 5.25%. Moreover, taking into account the continuing uncertainty on various geo-"
"239","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","economic dimensions, it is prudent to continue with the neutral stance."
"240","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"241","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"242","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"243","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"244","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","                                            5"
"245","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"246","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Statement by Prof. Ram Singh"
"247","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","29.    The real GDP (FAE) is estimated to grow by 7.4 per cent in 2025-26, with"
"248","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","private consumption and fixed investment contributing significantly to the growth. On"
"249","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the supply side, buoyant services sector, the resilient agricultural sector, and the"
"250","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","revival in manufacturing activity are expected to deliver real GVA growth of 7.3 per"
"251","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","cent. Looking ahead, real GDP growth is projected to be 6.9 per cent and 7.0 per cent"
"252","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","for Q1:FY27 and Q2: FY27, respectively."
"253","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","30.    Despite the 7 per cent plus growth rate, there are no signs of overheating in the"
"254","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","economy. CPI inflation for 2025-26 is expected to be 2.1 per cent, with Q4 at 3.2 per"
"255","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","cent. CPI inflation for Q1and Q2 of FY27 is projected to be a tad higher at 4.0 per cent"
"256","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","and 4.2 per cent, respectively. Filtering out the effect of increases in prices of precious"
"257","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","metals (60-70 bps), the underlying inflation pressures are expected to remain muted."
"258","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","31.      Going ahead, robust domestic demand in conjunction with improved capacity"
"259","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","utilisation is likely to attract fresh private-sector investment. Conducive financial"
"260","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","conditions, healthy balance sheets of banks, NBFCs, and corporates, a pick-up in"
"261","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","credit growth, and the central government capex provide resilience to the growth"
"262","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","outlook. However, geopolitical tensions, uncertainty around the global trade"
"263","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","environment, and volatility in global financial markets continue to pose downside risks"
"264","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","to the growth outlook."
"265","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","32.    Overall, the growth momentum is steady, and the transmission of the 125 bps"
"266","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","repo rate cut is still underway. So, the current policy rate seems appropriate at this"
"267","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","time. Accordingly, I vote to keep the repo rate at 5.25 per cent."
"268","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","33.    An important question is: At this point, will a growth-supportive monetary policy"
"269","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","risk fuel inflation? The extent and timing of further repo rate cuts will largely be"
"270","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","determined by the incoming data. However, a few trends on inflation and growth fronts"
"271","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","are noticeable for a forward-looking monetary policy."
"272","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","34.     On the price front, a review of the headline CPI and CPI-Core inflation data"
"273","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","suggests that in the recent years the two have diverged quite significantly. In recent"
"274","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","quarters, it is the headline CPI that seems to be swinging around CPI-Core inflation;"
"275","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the latter has been moderate and range-bound The expected rise in the headline CPI"
"276","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","to 4.0% in Q1 and 4.2% in Q2 of FY26-27 is not entirely driven by domestic demand-"
"277","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","pull factors; precious metals prices have also played a significant role. Further, the"
"278","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","CPI core (excluding gold) has been well below 4 per cent over the last 8-9 quarters,"
"279","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","even though the economy is expected to register average growth of above 7.4% over"
"280","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the last 5 quarters."
"281","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","35.   It seems the economy is entering a structural phase where a 7 per cent-plus"
"282","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","growth rate and moderate inflation can coexist. If anything, the output gap might still"
"283","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","be negative. As I have argued in the past, a growth rate above 7.5% appears realistic"
"284","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","without building up price pressure. The potential growth rate seems to have inched up"
"285","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","aided by productivity and efficiency gains from infrastructure and the technological"
"286","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","advances in the last few years. Going forward, impact of AI is expected to be"
"287","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","supportive on growth as well as inflation front."
"288","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","36.    These data points and developments suggest room for further rate cuts at an"
"289","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","appropriate time. The forecast also suggests that the CPI core (excluding gold) will"
"290","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","remain benign in the near term, with GDP growth around 7%. The World Bank’s CPF"
"291","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","has projected commodity prices, except for some precious metals, to be moderate in"
"292","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","2026. If we use the CPI core (excluding gold and silver) as a reference point, there is"
"293","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"294","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","                                            6"
"295","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"296","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","a case for a growth-supportive stance, given that the economy’s fundamentals – BOP,"
"297","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Forex, fiscal deficit, debt-to-GDP ratio, corporate and bank balance sheets, inflation,"
"298","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","and growth dynamics – are robust."
"299","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","37.    The Centre’s Fiscal Deficit for FY25-26 is on track to meet the below 4.5% of"
"300","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","GDP target as promised in 2021-22, with a clear roadmap towards reducing debt"
"301","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","levels to 50 per cent (+/- 1%) by 2030-31 as given in FY26-27 Budget. The CAD is"
"302","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","expected to remain at a highly sustainable 1.1% of GDP for FY26, supported by"
"303","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","buoyant service exports and robust private remittances. The recent announcement of"
